subject.ID,Anterior_hippocampus,Posterior_hippocampus,MISC,Meninges_PHC,ERC,Br35,Br36,PHC,ColSul,OTSul,Meninges
sub-1784075_ses-NAPFU24_run-001_T1w,1686.25,1693.5,139,179.5,498.75,580.25,2270.5,932.75,352.25,74,330
sub-1784075_ses-NAPFU36_run-001_T1w,1700.75,1672.25,134.75,183.5,525.25,568.5,2284.75,947.75,347.25,117.25,345
sub-1966913_ses-NAPBL00_run-001_T1w,1354.25,1671.75,123.75,281,650.25,682,2431.75,1065.75,329.5,322.25,335.5
sub-1966913_ses-NAPEN00_run-001_T1w,1361.5,1649.75,127,253,667,712.25,2472.25,1081.75,301.75,296.25,301.25
sub-1966913_ses-NAPFU03_run-001_T1w,1346.75,1666.5,142.25,277,654.75,709,2412.75,1083.75,302.25,296.5,351
sub-1966913_ses-NAPFU12_run-001_T1w,1334,1648.75,135.5,272.25,606.25,666.25,2378,1040.25,308.75,305.5,371
sub-1966913_ses-NAPFU24_run-001_T1w,1327.75,1680.75,136.75,277,647.75,678.25,2353.5,1063,336.75,266.5,342.75
sub-1984879_ses-PREBL00_run-001_T1w,1741.75,2011.25,125,118.5,534.75,693.5,2151.5,1046,418.75,350.5,478
sub-1984879_ses-PREEN00_run-001_T1w,1709.75,1954.75,159.25,120.25,512.5,657.25,2163.25,1061.75,420,346.25,489.25
sub-1984879_ses-PREFU12_run-001_T1w,1689.5,1920.75,148.25,120.5,522.5,598.5,2098.75,1025.25,438.75,383.75,478
sub-1984879_ses-PREFU24_run-001_T1w,1634.75,1868.75,89.75,107,499.25,631.25,2091.5,1042.75,482.25,334.75,445.5
sub-1984879_ses-PREFU36_run-001_T1w,1678,1913,185,118,540.75,563.25,2085.25,1079.25,476.25,402.25,457.5
sub-2017146_ses-NAPBL00_run-001_T1w,1761.25,1708,81.25,196,591,687,2400.25,991,426.75,159.75,331.25
sub-2017146_ses-NAPEN00_run-001_T1w,1741.75,1678,77.75,196,641.5,731.25,2462,1018.25,360.5,164.5,304.75
sub-2017146_ses-NAPFU03_run-001_T1w,1752.25,1711.25,76.25,204.5,631.25,728.5,2458,1014.75,345,199.5,290.5
sub-2017146_ses-NAPFU12_run-001_T1w,1788.75,1723,81.5,191.75,531,755,2339.25,1035,369.5,140.5,284
sub-2017146_ses-NAPFU24_run-001_T1w,1736,1684.75,85,200.5,581.75,699.75,2385,1013.75,390.75,180.75,326.75
sub-2017146_ses-NAPFU36_run-001_T1w,1767.5,1713.5,80,173.25,623.75,729,2413,1050.25,350.5,154.75,291
sub-2017146_ses-NAPFU48_run-001_T1w,1700.75,1701.5,83.25,189.5,559.75,694.75,2369,966.5,441.75,182.5,332.75
sub-2111048_ses-NAPBL00_run-001_T1w,1676.25,1646.75,87,217.5,582.5,713.25,2209.5,1035.75,295.25,48.75,373.5
sub-2111048_ses-NAPEN00_run-001_T1w,1627,1629.5,92.25,228.5,573.75,719,2219.75,1027.25,333,73.25,353
sub-2111048_ses-NAPFU03_run-001_T1w,1665,1656.75,100.5,225,495,707.25,2206.75,1082,283,104.5,352.5
sub-2111048_ses-NAPFU12_run-001_T1w,1669.5,1627.25,93,232,592.25,750.75,2210.5,1042.75,308,35.25,321.25
